ID,Time,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
11,162549,0,48,,,,,,
12,162549,3,18,,,,,,
15,162550,1,,,,,,,
192,162550,0,0,0,0,0,1,0,0
192,162579,0,0,0,0,0,1,0,0
11,162599,0,47,,,,,,
192,162609,0,0,0,0,0,1,0,0
12,162624,3,17,,,,,,
192,162639,0,0,0,0,0,1,0,0
11,162649,0,50,,,,,,
15,162649,1,,,,,,,
192,162669,0,0,0,0,0,1,0,0
192,162699,0,0,0,0,0,1,0,0
11,162700,0,49,,,,,,
12,162700,3,17,,,,,,
192,162729,0,0,0,0,0,1,0,0
15,162749,1,,,,,,,
11,162749,0,48,,,,,,
192,162759,0,0,0,0,0,1,0,0
12,162774,3,17,,,,,,
192,162789,0,0,0,0,0,1,0,0
11,162799,0,48,,,,,,
192,162819,0,0,0,0,0,1,0,0
11,162849,0,46,,,,,,
12,162849,3,18,,,,,,
15,162850,1,,,,,,,
192,162850,0,0,0,0,0,1,0,0
192,162879,0,0,0,0,0,1,0,0
11,162899,0,46,,,,,,
192,162909,0,0,0,0,0,1,0,0
12,162924,3,18,,,,,,
192,162939,0,0,0,0,0,1,0,0
11,162949,0,48,,,,,,
15,162949,1,,,,,,,
192,162969,0,0,0,0,0,1,0,0
192,162999,0,0,0,0,0,1,0,0
11,163000,0,92,,,,,,
12,163000,3,17,,,,,,
192,163029,0,0,0,0,0,1,0,0
15,163049,1,,,,,,,
11,163049,2,39,,,,,,
192,163059,0,0,0,0,0,1,0,0
12,163074,3,17,,,,,,
192,163089,0,0,0,0,0,1,0,0
11,163099,3,40,,,,,,
192,163119,0,0,0,0,0,1,0,0
12,163149,3,18,,,,,,
11,163149,6,24,,,,,,
15,163150,1,,,,,,,
192,163150,0,0,0,0,0,1,0,0
192,163179,0,0,0,0,0,1,0,0
11,163199,10,13,,,,,,
192,163209,0,0,0,0,0,1,0,0
12,163224,3,18,,,,,,
192,163239,0,0,0,0,0,1,0,0
15,163249,1,,,,,,,
11,163249,10,15,,,,,,
192,163269,0,0,0,0,0,1,0,0
192,163299,0,0,0,0,0,1,0,0
11,163300,10,14,,,,,,
12,163300,3,18,,,,,,
192,163329,0,0,0,0,0,1,0,0
11,163349,10,13,,,,,,
15,163349,1,,,,,,,
192,163359,0,0,0,0,0,1,0,0
12,163374,3,17,,,,,,
192,163389,0,0,0,0,0,1,0,0
11,163399,10,14,,,,,,
192,163419,0,0,0,0,0,1,0,0
192,163449,0,0,0,0,0,1,0,0
11,163450,10,14,,,,,,
12,163450,3,18,,,,,,
15,163450,1,,,,,,,
192,163479,0,0,0,0,0,1,0,0
11,163499,10,14,,,,,,
192,163509,0,0,0,0,0,1,0,0
12,163524,3,17,,,,,,
192,163539,0,0,0,0,0,1,0,0
15,163549,1,,,,,,,
11,163549,10,14,,,,,,
192,163569,0,0,0,0,0,1,0,0
192,163599,0,0,0,0,0,1,0,0
11,163600,10,12,,,,,,
12,163600,3,18,,,,,,
192,163629,0,0,0,0,0,1,0,0
11,163649,10,13,,,,,,
15,163649,1,,,,,,,
192,163659,0,0,0,0,0,1,0,0
12,163674,3,18,,,,,,
192,163689,0,0,0,0,0,1,0,0
11,163699,10,13,,,,,,
192,163719,0,0,0,0,0,1,0,0
192,163749,0,0,0,0,0,1,0,0
11,163750,10,13,,,,,,
12,163750,3,18,,,,,,
15,163750,1,,,,,,,
192,163779,0,0,0,0,0,1,0,0
11,163799,9,17,,,,,,
192,163809,0,0,0,0,0,1,0,0
12,163824,3,17,,,,,,
192,163839,0,0,0,0,0,1,0,0
15,163849,1,,,,,,,
11,163849,2,29,,,,,,
192,163869,0,0,0,0,0,1,0,0
192,163899,0,0,0,0,0,1,0,0
11,163900,0,0,,,,,,
12,163900,3,18,,,,,,
192,163900,0,0,0,0,0,0,0,0
192,163929,0,0,0,0,0,1,0,0
192,163949,0,0,0,0,1,0,0,0
11,163950,0,63,,,,,,
15,163950,1,,,,,,,
192,163959,0,0,0,0,0,1,0,0
12,163974,3,17,,,,,,
192,163989,0,0,0,0,0,1,0,0
192,163999,0,0,0,0,0,0,0,0
11,164000,0,26,,,,,,
192,164019,0,0,0,0,0,1,0,0
12,164049,3,17,,,,,,
11,164049,0,46,,,,,,
15,164050,1,,,,,,,
192,164050,0,0,0,0,1,0,0,0
192,164051,0,0,0,0,0,1,0,0
192,164079,0,0,0,0,0,1,0,0
11,164099,0,50,,,,,,
192,164109,0,0,0,0,0,1,0,0
12,164124,3,17,,,,,,
192,164139,0,0,0,0,0,1,0,0
11,164149,0,49,,,,,,
15,164149,1,,,,,,,
192,164169,0,0,0,0,0,1,0,0
192,164199,0,0,0,0,0,1,0,0
11,164200,0,47,,,,,,
12,164200,3,18,,,,,,
192,164229,0,0,0,0,0,1,0,0
15,164249,1,,,,,,,
11,164249,0,47,,,,,,
192,164259,0,0,0,0,0,1,0,0
12,164274,3,17,,,,,,
192,164289,0,0,0,0,0,1,0,0
11,164299,0,49,,,,,,
192,164319,0,0,0,0,0,1,0,0
11,164349,0,50,,,,,,
12,164349,3,17,,,,,,
15,164350,1,,,,,,,
192,164350,0,0,0,0,0,1,0,0
192,164379,0,0,0,0,0,1,0,0
11,164399,0,47,,,,,,
192,164409,0,0,0,0,0,1,0,0
12,164424,3,18,,,,,,
192,164439,0,0,0,0,0,1,0,0
11,164449,0,46,,,,,,
15,164449,1,,,,,,,
192,164469,0,0,0,0,0,1,0,0
192,164499,0,0,0,0,0,1,0,0
11,164500,0,46,,,,,,
12,164500,3,18,,,,,,
192,164529,0,0,0,0,0,1,0,0
15,164549,1,,,,,,,
11,164549,0,43,,,,,,
192,164559,0,0,0,0,0,1,0,0
12,164574,3,17,,,,,,
192,164589,0,0,0,0,0,1,0,0
11,164599,0,47,,,,,,
192,164619,0,0,0,0,0,1,0,0
12,164649,3,17,,,,,,
11,164649,0,46,,,,,,
15,164650,1,,,,,,,
192,164650,0,0,0,0,0,1,0,0
192,164679,0,0,0,0,0,1,0,0
11,164699,0,45,,,,,,
